author,author_url,build_with,desc_len,hackathon_names,hackathon_status,hackathon_urls,is_winner,num_cmts,num_imgs,num_likes,project_name,project_url,software_url,win_titles
Aarthi Ganesh||sahilsharma356 Sharma||Hariprasadh Govindasamy,https://devpost.com/aarthiganesh||https://devpost.com/sahilsharma356||https://devpost.com/harigovind1998,express.js||javascript||mongodb||node.js||react||rest,3183,ConUHacks V,,https://conuhacks2020.devpost.com/,False,0,1,78,Unite,https://devpost.com/software/unite-kw52ib,https://gitlab.com/gitlab-org/gitlab,
Aarthi Ganesh||sahilsharma356 Sharma||Hariprasadh Govindasamy,https://devpost.com/aarthiganesh||https://devpost.com/sahilsharma356||https://devpost.com/harigovind1998,express.js||javascript||mongodb||node.js||react||rest,3183,,,,False,0,1,78,Unite,https://devpost.com/software/unite-kw52ib,https://github.com/tsuyuuu/HealthPack,
