hackathon_url,num_submission
https://hackuci2020.devpost.com/,91
https://mchacks7.devpost.com/,69
https://hoya-hacks-2020.devpost.com/,40
https://hacksc-2020.devpost.com/,128
https://swamphacks-vi.devpost.com/,116
https://hack-for-the-world.devpost.com/,14
https://royalhackawayv3.devpost.com/,22
https://gridshift.devpost.com/,15
https://enactushacks.devpost.com/,20
https://conuhacks2020.devpost.com/,125
https://tamuhack2020.devpost.com/,142
https://minnehack2020.devpost.com/,55
https://qwerhacks2020.devpost.com/,22
https://hackatbrown2020.devpost.com/,42
https://deltahacks6.devpost.com/,158
https://boilermake-vii.devpost.com/,88
https://phoenixhacks2020.devpost.com/,13
https://pixelhacks-iv.devpost.com/,21
https://cuhackit2020.devpost.com/,41
https://manmethacks2020.devpost.com/,30
https://ksu-fashion-tech-hack-2020.devpost.com/,36
https://hackatown2020.devpost.com/,44
https://el-paso-hacks.devpost.com/,17
https://hackdavis2020.devpost.com/,110
https://starterhacks-2020.devpost.com/,120
https://troy-hack.devpost.com/,23
https://bchacks2020.devpost.com/,36
https://hack-cambridge-101.devpost.com/,76
https://uofthacksvii.devpost.com/,70
https://cruzhacks-2020.devpost.com/,64
https://hack-wpi-2020.devpost.com/,33
https://h-a-r-d-hack-2020.devpost.com/,21
https://rose-hack-2020.devpost.com/,34
https://hacknroll2020.devpost.com/,135
https://womxnhacks-2-0.devpost.com/,28
https://hackmcwics.devpost.com/,24
https://nwhacks2020.devpost.com/,145
https://ideahacks2020.devpost.com/,37
https://hacked-2020.devpost.com/,74
https://cuhacking2020.devpost.com/,106
https://oceanprotocol.devpost.com/,26
https://sb-hacks-vi.devpost.com/,67
https://shehacks4.devpost.com/,62
https://bullyhack-2020.devpost.com/,25
https://mcit-online-winter-2020.devpost.com/,16
https://cornhacks-2020.devpost.com/,27
https://tfworld.devpost.com/,66
https://ethio-hacks-7th-series.devpost.com/,8
https://blockstack-evil3.devpost.com/,28
https://hackthehammer2.devpost.com/,39
https://hackhershey-2019.devpost.com/,28
https://honeycomb.devpost.com/,16
https://disruptberlin2019.devpost.com/,54
https://stratisplatform.devpost.com/,13
https://fintech.devpost.com/,122
https://build.devpost.com/,102
https://isbhacks2019.devpost.com/,22
https://kic-hackathon.devpost.com/,14
https://re-invent-2019-tech-for-good.devpost.com/,25
https://ubclhd19.devpost.com/,55
https://hackwestern6.devpost.com/,92
https://hackkings6.devpost.com/,19
https://hackeps2019.devpost.com/,18
https://frontierhacks.devpost.com/,19
https://hackatum19.devpost.com/,121
https://pachacks2019.devpost.com/,7
https://durhack2019.devpost.com/,46
https://qbhacks.devpost.com/,7
https://bostonhacks-2019.devpost.com/,78
https://strike.devpost.com/,34
https://lauzhack-4-0.devpost.com/,53
https://codejam2019.devpost.com/,39
https://capitol-hackathon-nov-2019.devpost.com/,28
https://oxford-hack-2019.devpost.com/,55
https://lehman-hacks19.devpost.com/,30
https://inventathonhcc.devpost.com/,9
https://greatunihack19.devpost.com/,36
https://uganda-zoohackathon-2019.devpost.com/,13
https://slohacksgo.devpost.com/,16
https://yb-hackathon.devpost.com/,16
https://zoohackathon-manila-2019.devpost.com/,8
https://alexaisp.devpost.com/,211
https://technica2019.devpost.com/,144
https://ethwaterloo2.devpost.com/,65
https://hackutd-vi.devpost.com/,110
https://thli-fall-2019.devpost.com/,54
https://th19.devpost.com/,42
https://hack-kstate-2019.devpost.com/,65
https://hackprinceton-f19.devpost.com/,52
https://kolkata-zoohackathon-2019.devpost.com/,12
https://cutiehack2019.devpost.com/,29
https://codestellation2019.devpost.com/,28
https://abbey-road-hackathon.devpost.com/,19
https://san-diego-zoohackathon-2019.devpost.com/,12
https://terrible-hack-xiv.devpost.com/,18
https://hacknjit2019.devpost.com/,61
https://hacksussex-2019.devpost.com/,21
https://hackholyoke-2019.devpost.com/,28
https://hacktams2019.devpost.com/,7
https://gt-coc-appathon-2019.devpost.com/,9
https://hacknotts-2019.devpost.com/,33
https://fbsfhackathon2019.devpost.com/,27
https://whack-fall-2019.devpost.com/,20
https://defi-hackathon.devpost.com/,56
https://hacktx19.devpost.com/,85
https://zihack9.devpost.com/,12
https://hackphs-2019.devpost.com/,58
https://mcgill-physics-hackathon-2019.devpost.com/,32
https://astonhack2019.devpost.com/,17
https://hackrpi-fall2019.devpost.com/,57
https://squirrelhacks.devpost.com/,48
https://hack-gsu-fall-2019-8869.devpost.com/,42
https://vandyhacksvi.devpost.com/,88
https://ec-hacks-iv.devpost.com/,18
https://hackduke-2019.devpost.com/,66
https://ubhacking2019.devpost.com/,84
https://skyhack.devpost.com/,32
https://hs5.devpost.com/,37
https://opportunity-hack-san-jose-2019.devpost.com/,26
https://fbchicagohackathon2019.devpost.com/,22
https://hackwitus-2019.devpost.com/,12
https://kyber.devpost.com/,41
https://yhack2019.devpost.com/,147
https://hackgt2019.devpost.com/,218
https://sd-hacks-2019.devpost.com/,143
https://cal-hacks-6.devpost.com/,221
https://hack-brunel.devpost.com/,10
https://hacktober19.devpost.com/,19
https://devfest-gdg-algiers-2k19.devpost.com/,17
https://hackthemidlands4.devpost.com/,47
https://madhacks-2019.devpost.com/,52
https://zoohackathon-2019-alexandria.devpost.com/,27
https://alexadevcommunitycontest.devpost.com/,149
https://twitchdevjam.devpost.com/,34
https://hackharvard2019.devpost.com/,82
https://diffusion2019.devpost.com/,44
https://emtechhack.devpost.com/,15
https://healthplusplus19.devpost.com/,46
https://demonhacks-2019.devpost.com/,30
https://hackru-f19.devpost.com/,95
https://patriothacks2019.devpost.com/,38
https://fbnyhackathon2019.devpost.com/,27
https://cunyhackathon2019.devpost.com/,45
https://hackfsu6.devpost.com/,27
https://opportunity-hack-2019-arizona.devpost.com/,21
https://hacknc2019.devpost.com/,89
https://kinchallenge.devpost.com/,27
https://mhacks12.devpost.com/,81
https://dubhacks19f.devpost.com/,142
https://iothackday2019.devpost.com/,19
https://hackupc2019.devpost.com/,127
https://intuitionv6.devpost.com/,42
https://autumnhacks.devpost.com/,40
https://devfest-19-jeddah.devpost.com/,23
https://hackuiowa-2019.devpost.com/,36
https://pitt-challenge.devpost.com/,32
https://adahacks2019.devpost.com/,17
https://algothon-2019.devpost.com/,32
https://att5ghack.devpost.com/,44
https://hakron4k.devpost.com/,22
https://divhacks2019.devpost.com/,9
https://the-golden-hack.devpost.com/,15
https://hacktheu-2019.devpost.com/,42
https://mobihacks-citopia.devpost.com/,7
https://disruptsf2019.devpost.com/,74
https://hackuta.devpost.com/,37
https://implementai-2019.devpost.com/,27
https://volhacks-iv.devpost.com/,53
https://twitchcon-hackathon-2019.devpost.com/,35
https://hackumbcfall2019.devpost.com/,55
https://girlhacks2019.devpost.com/,19
https://medhacks-2019.devpost.com/,58
https://codelinc.devpost.com/,15
https://globalgraphhack.devpost.com/,17
https://khe2019.devpost.com/,39
https://shark-hack-2019.devpost.com/,8
https://pyghack2019.devpost.com/,25
https://ki-hacks-2.devpost.com/,10
https://shellhacks-2019.devpost.com/,61
https://elevate-tech-jam-2019.devpost.com/,77
https://brhfa19.devpost.com/,59
https://sunhacks-2019.devpost.com/,43
https://omnihacks19.devpost.com/,35
https://sbuhacks2019.devpost.com/,60
https://hackrice-9.devpost.com/,48
https://hackhsn.devpost.com/,14
https://hackny-f2019.devpost.com/,33
https://wyohackathon2019.devpost.com/,30
https://developercircles2019.devpost.com/,267
https://bu-spark-freshman-mini-hack.devpost.com/,6
https://hackthenorth2019.devpost.com/,320
https://hackmit-2019.devpost.com/,211
https://hello-world-2019.devpost.com/,48
https://pytorch.devpost.com/,74
https://junctionxkaust2019.devpost.com/,33
https://hophacks-fall-2019.devpost.com/,44
https://azureai.devpost.com/,69
https://ethboston.devpost.com/,55
https://torus4everyone2019.devpost.com/,16
https://howdyhack2019.devpost.com/,42
https://pennapps-xx.devpost.com/,242
