Hackathon_Url,Topic_X_count,num_submission,popular,Topic_X_proportion
https://uipath2019.devpost.com/,7,70.0,Yes,0.1000
https://disruptsf2016.devpost.com/,17,144.0,Yes,0.1181
https://hackcmu-2016.devpost.com/,14,62.0,Yes,0.2258
https://mchacks2018.devpost.com/,17,88.0,Yes,0.1932
https://cruzhacks2018.devpost.com/,11,88.0,Yes,0.1250
https://pennapps-xvii.devpost.com/,11,156.0,Yes,0.0705
https://hack-kstate-2019.devpost.com/,10,65.0,Yes,0.1538
https://vthacksvi.devpost.com/,10,61.0,Yes,0.1639
https://disrupteu2015.devpost.com/,15,78.0,Yes,0.1923
https://technica2017.devpost.com/,10,67.0,Yes,0.1493
https://lauzhack2017.devpost.com/,15,72.0,Yes,0.2083
https://pickhacks.devpost.com/,11,64.0,Yes,0.1719
https://hackfsu16.devpost.com/,12,85.0,Yes,0.1412
https://hackutd2019.devpost.com/,19,108.0,Yes,0.1759
https://losaltoshacks2.devpost.com/,14,61.0,Yes,0.2295
https://disruptny2017.devpost.com/,12,88.0,Yes,0.1364
https://disruptsf2015.devpost.com/,21,166.0,Yes,0.1265
https://awschatbot.devpost.com/,7,62.0,Yes,0.1129
https://intelhacks.devpost.com/,4,91.0,Yes,0.0440
https://nwhacks2018.devpost.com/,15,115.0,Yes,0.1304
https://ethnewyork.devpost.com/,13,64.0,Yes,0.2031
https://hacknroll2018.devpost.com/,19,105.0,Yes,0.1810
https://hacktx17.devpost.com/,20,88.0,Yes,0.2273
https://globalhack7.devpost.com/,14,92.0,Yes,0.1522
https://hackwestern2.devpost.com/,21,104.0,Yes,0.2019
https://ethwaterloo2.devpost.com/,6,65.0,Yes,0.0923
https://disruptny2016.devpost.com/,6,93.0,Yes,0.0645
https://revuc-viii.devpost.com/,8,66.0,Yes,0.1212
https://swamphacks-iv.devpost.com/,16,82.0,Yes,0.1951
https://wildhacks2015.devpost.com/,15,88.0,Yes,0.1705
https://hackduke2015.devpost.com/,19,89.0,Yes,0.2135
https://hackisu-x-fall-2018.devpost.com/,12,63.0,Yes,0.1905
https://ethdenver.devpost.com/,8,131.0,Yes,0.0611
https://medhacks-2018.devpost.com/,7,90.0,Yes,0.0778
https://alexaisp.devpost.com/,17,211.0,Yes,0.0806
https://recurse.devpost.com/,11,69.0,Yes,0.1594
https://sdhacks.devpost.com/,9,77.0,Yes,0.1169
https://hackru-s18.devpost.com/,10,59.0,Yes,0.1695
https://hackumass-iv.devpost.com/,15,92.0,Yes,0.1630
https://hackcambridge.devpost.com/,8,68.0,Yes,0.1176
https://alexamultimodal.devpost.com/,48,344.0,Yes,0.1395
https://sbuhacks2019.devpost.com/,12,60.0,Yes,0.2000
https://aghacks2015.devpost.com/,11,65.0,Yes,0.1692
https://hacknroll2017.devpost.com/,14,96.0,Yes,0.1458
https://hackatum18.devpost.com/,9,83.0,Yes,0.1084
https://y-combinator-april-2019.devpost.com/,6,72.0,Yes,0.0833
https://disruptnyc2015.devpost.com/,12,104.0,Yes,0.1154
https://ethwaterloo.devpost.com/,3,72.0,Yes,0.0417
https://hackatum19.devpost.com/,21,121.0,Yes,0.1736
https://spartahack2016.devpost.com/,24,111.0,Yes,0.2162
https://dragonhacks2016.devpost.com/,7,64.0,Yes,0.1094
https://cuhacking-2019.devpost.com/,9,62.0,Yes,0.1452
https://ubhacking2018.devpost.com/,8,62.0,Yes,0.1290
https://uofthacksv.devpost.com/,16,77.0,Yes,0.2078
https://boilermake2015.devpost.com/,16,84.0,Yes,0.1905
https://hackupc2016f.devpost.com/,15,91.0,Yes,0.1648
https://hackruf15.devpost.com/,16,71.0,Yes,0.2254
https://globalhack6.devpost.com/,8,156.0,Yes,0.0513
https://fall-hackmty-2016-4121.devpost.com/,12,59.0,Yes,0.2034
https://fishackathon2016.devpost.com/,10,127.0,Yes,0.0787
https://disruptsf2019.devpost.com/,5,74.0,Yes,0.0676
https://studenthackv.devpost.com/,17,60.0,Yes,0.2833
https://hacktm-2017.devpost.com/,3,59.0,Yes,0.0508
https://hackprincetons2015.devpost.com/,4,62.0,Yes,0.0645
https://blockstack.devpost.com/,9,59.0,Yes,0.1525
https://makeharvard2019.devpost.com/,11,71.0,Yes,0.1549
https://hackmty-2019.devpost.com/,15,82.0,Yes,0.1829
https://start-hack-2019.devpost.com/,4,63.0,Yes,0.0635
https://hacknroll2016.devpost.com/,8,68.0,Yes,0.1176
https://elevate-tech-jam-2019.devpost.com/,6,77.0,Yes,0.0779
https://hackupc2016.devpost.com/,9,64.0,Yes,0.1406
https://alexadevcommunitycontest.devpost.com/,15,149.0,Yes,0.1007
https://disrupteu2016.devpost.com/,11,63.0,Yes,0.1746
