hackathon_url,num_submission,popular
https://alexakidskills.devpost.com/,470,Yes
https://alexalifehacks.devpost.com/,382,Yes
https://mlh-local-hack-day-2018.devpost.com/,369,Yes
https://alexamultimodal.devpost.com/,344,Yes
https://hackthenorth2019.devpost.com/,320,Yes
https://junction2017.devpost.com/,318,Yes
https://pennappsxii.devpost.com/,306,Yes
https://junction2016.devpost.com/,294,Yes
https://mhacks6.devpost.com/,276,Yes
https://yhack2017.devpost.com/,270,Yes
https://developercircles2019.devpost.com/,267,Yes
https://hackthenorth2018.devpost.com/,245,Yes
https://vanhackathon.devpost.com/,245,Yes
https://pennapps-xx.devpost.com/,242,Yes
https://hackthenorth2015.devpost.com/,236,Yes
https://devcommunitychallenge.devpost.com/,229,Yes
https://calhacks4.devpost.com/,227,Yes
https://calhacks3.devpost.com/,226,Yes
https://hackthenorth2016.devpost.com/,224,Yes
https://cal-hacks-6.devpost.com/,221,Yes
https://mhacks8.devpost.com/,220,Yes
https://hackgt2019.devpost.com/,218,Yes
https://hackthenorth2017.devpost.com/,218,Yes
https://hackillinois2016s.devpost.com/,216,Yes
https://alexaisp.devpost.com/,211,Yes
https://hackmit-2019.devpost.com/,211,Yes
https://alexa.devpost.com/,205,Yes
https://hackingedu.devpost.com/,205,Yes
https://alexatechforgood.devpost.com/,202,Yes
https://pennapps-xviii.devpost.com/,202,Yes
https://awschatbot2017.devpost.com/,197,Yes
https://bitcamp2017.devpost.com/,197,Yes
https://yhack2015.devpost.com/,190,Yes
https://hackgt2018.devpost.com/,189,Yes
https://mhacksx.devpost.com/,187,Yes
https://hackgt2017.devpost.com/,185,Yes
https://treehacks-2019.devpost.com/,181,Yes
https://lahacks2015.devpost.com/,180,Yes
https://pennapps-xv.devpost.com/,178,Yes
https://hackmit-2018.devpost.com/,176,Yes
https://hackmit2017.devpost.com/,176,Yes
https://cal-hacks2.devpost.com/,176,Yes
https://hackgt2016.devpost.com/,174,Yes
https://pennapps-xiii.devpost.com/,173,Yes
https://bitcamp2018.devpost.com/,172,Yes
https://pennapps-xiv.devpost.com/,170,Yes
https://disruptsf2015.devpost.com/,166,Yes
https://la-hacks.devpost.com/,163,Yes
https://la-hacks-2018.devpost.com/,162,Yes
https://bitcamp15.devpost.com/,160,Yes
https://deltahacks6.devpost.com/,158,Yes
https://pennapps-xvi.devpost.com/,158,Yes
https://lahacks2017.devpost.com/,158,Yes
https://hackmit-2016.devpost.com/,157,Yes
https://pennapps-xvii.devpost.com/,156,Yes
https://globalhack6.devpost.com/,156,Yes
https://summeracademy.devpost.com/,151,Yes
https://yhack2016.devpost.com/,150,Yes
https://alexadevcommunitycontest.devpost.com/,149,Yes
https://2017circles.devpost.com/,148,Yes
https://yhack2019.devpost.com/,147,Yes
https://nwhacks2020.devpost.com/,145,Yes
https://bitcamp2019.devpost.com/,145,Yes
https://technica2019.devpost.com/,144,Yes
https://disruptsf2016.devpost.com/,144,Yes
https://sd-hacks-2019.devpost.com/,143,Yes
https://tamuhack2020.devpost.com/,142,Yes
https://dubhacks19f.devpost.com/,142,Yes
https://uipath.devpost.com/,137,Yes
https://bitcamp16.devpost.com/,137,Yes
https://tamuhack2019.devpost.com/,136,Yes
https://hacknroll2020.devpost.com/,135,Yes
https://makeschool.devpost.com/,135,Yes
https://hacknroll2019.devpost.com/,134,Yes
https://hacktj2019.devpost.com/,133,Yes
https://nwhacks2019.devpost.com/,133,Yes
https://ethdenver.devpost.com/,131,Yes
https://htp-s2015.devpost.com/,131,Yes
https://brickhackv.devpost.com/,130,Yes
https://hackupc2017f.devpost.com/,129,Yes
https://hacksc-2020.devpost.com/,128,Yes
https://hackupc2018.devpost.com/,128,Yes
https://hackupc2019.devpost.com/,127,Yes
https://fishackathon2016.devpost.com/,127,Yes
https://mhacksrefactor.devpost.com/,126,Yes
https://conuhacks2020.devpost.com/,125,Yes
https://conuhacks2019.devpost.com/,125,Yes
https://disruptsf2018.devpost.com/,123,Yes
https://treehacks-2017.devpost.com/,123,Yes
https://fintech.devpost.com/,122,Yes
https://archhacks.devpost.com/,122,Yes
https://hackatum19.devpost.com/,121,Yes
https://starterhacks2019.devpost.com/,121,Yes
https://ethsanfrancisco.devpost.com/,121,Yes
https://starterhacks-2020.devpost.com/,120,Yes
https://codegeist.devpost.com/,120,Yes
https://hackprinceton-fall17.devpost.com/,119,Yes
https://hackillinois-2017.devpost.com/,118,Yes
https://swamphacks-vi.devpost.com/,116,Yes
https://codegeist2016.devpost.com/,116,Yes
https://hackdfw2016.devpost.com/,116,Yes
https://treehacks-2018.devpost.com/,115,Yes
https://nwhacks2018.devpost.com/,115,Yes
https://codegeist2015.devpost.com/,115,Yes
https://hackdavis2018.devpost.com/,113,Yes
https://mhacks11.devpost.com/,112,Yes
https://hackharvard-2017.devpost.com/,112,Yes
https://spartahack2017.devpost.com/,112,Yes
https://conuhacks2018.devpost.com/,111,Yes
https://spartahack2016.devpost.com/,111,Yes
https://hackdavis2020.devpost.com/,110,Yes
https://hackutd-vi.devpost.com/,110,Yes
https://technica2018.devpost.com/,110,Yes
https://hackcuv.devpost.com/,109,Yes
https://sdhacks2018.devpost.com/,109,Yes
https://techtogetherboston19.devpost.com/,108,Yes
https://hackutd2019.devpost.com/,108,Yes
https://hshacks3.devpost.com/,108,Yes
https://hacktj2016.devpost.com/,107,Yes
https://cuhacking2020.devpost.com/,106,Yes
https://hackwestern4.devpost.com/,106,Yes
https://boilermake-iv.devpost.com/,106,Yes
https://mlhprime-spring-finale-2016.devpost.com/,106,Yes
https://hacktj2018.devpost.com/,105,Yes
https://hacknroll2018.devpost.com/,105,Yes
https://dubhacks17f.devpost.com/,105,Yes
https://hacknyu2019.devpost.com/,104,Yes
https://deltahacks5.devpost.com/,104,Yes
https://hackumass-v.devpost.com/,104,Yes
https://hackwestern2.devpost.com/,104,Yes
https://disruptnyc2015.devpost.com/,104,Yes
https://hoohacks.devpost.com/,103,Yes
https://hackharvard2018.devpost.com/,103,Yes
https://tamuhack2018.devpost.com/,103,Yes
https://disruptsf2017.devpost.com/,103,Yes
